order_id,order_date,customer_id,customer_name,customer_segment,customer_region,product_id,quantity,order_value,payment_status,order_status,delivery_status,carrier,delivery_cost,expected_date,actual_date,delivery_delay_days,ticket_category,priority,sentiment,stock_available,reorder_level,daily_demand,supplier
O100000,2026-02-03,C13670,Customer_3671,Standard,Delhi,P1491,5,23947.20,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,Delivery,Medium,Negative,721,247,122.70,Supplier_C
O100001,2026-08-10,C12608,Customer_2609,Standard,Pune,P1385,1,8291.47,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,319,117,140.38,Supplier_C
O100002,2026-06-05,C13339,Customer_3340,Basic,chennai,P1326,3,15531.34,Refunded,Completed,NULL,NULL,NULL,NULL,NULL,NULL,account,High,Neutral,118,260,60.15,Supplier_D
O100003,2026-02-18,C10662,Customer_663,Standard,Hyderabad,P1185,1,23973.30,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,Product,Low,Negative,359,180,39.92,Supplier_B
O100004,2026-08-15,C12828,Customer_2829,Standard,Kolkata,P1357,6,12637.16,Paid,Completed,Delivered,FedEx,116.08,2026-09-17,2026-09-15,-2,NULL,NULL,NULL,125,69,11.57,Supplier_D
O100005,2026-06-25,C11029,Customer_1030,Basic,Delhi,P1061,3,11875.96,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,Payment,Medium,Negative,77,247,93.66,Supplier_B
O100006,2026-04-04,C10676,Customer_677,Premium,Chennai,P1353,0,13334.05,Paid,Completed,Delivered,FedEx,158.25,2026-01-07,2026-01-12,5,Payment,Low,Positive,957,59,108.60,Supplier_D
O100007,2026-04-10,C12297,Customer_2298,Premium,Pune,P1280,3,1119.30,Failed,Completed,Delivered,BlueDart,672.18,2026-02-01,2026-02-03,2,NULL,NULL,NULL,319,264,70.70,Supplier_D
O100008,2026-02-25,C12412,Customer_2413,Standard,Hyderabad,P1326,6,7712.94,Paid,Completed,Delivered,EcomExpress,106.10,2026-03-20,2026-03-18,-2,NULL,NULL,NULL,118,260,60.15,Supplier_D
O100009,2026-04-29,C11964,Customer_1965,Standard,Mumbai,P1280,4,17565.11,Paid,Completed,Delivered,BlueDart,337.56,2026-08-21,2026-08-20,-1,Account,Medium,Neutral,319,264,70.70,Supplier_D
O100010,2026-04-20,C10356,Customer_357,Premium,Delhi,P1122,1,24178.22,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,788,162,91.76,Supplier_B
O100011,2026-06-07,C10979,Customer_980,Basic,Pune,P1321,1,14347.99,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,Refund,Low,Neutral,538,126,16.79,Supplier_D
O100012,2026-09-14,C10942,Customer_943,Standard,Hyderabad,P1281,7,5004.75,Failed,Completed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,769,95,100.43,Supplier_A
O100013,2026-06-06,C11255,Customer_1256,Standard,,P1227,3,10842.29,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,Refund,Low,Positive,151,188,120.83,Supplier_C
O100014,2026-06-13,C12514,Customer_2515,Basic,Hyderabad,P1495,2,12403.49,Paid,Completed,Delayed,Delhivery,645.37,2026-01-22,2026-01-20,-2,NULL,NULL,NULL,625,211,14.59,Supplier_D
O100015,2026-08-30,C11753,Customer_1754,Premium,Hyderabad,P1357,5,4059.95,Paid,Processing,Delivered,FedEx,1487.03,2026-06-09,2026-06-09,0,Delivery,Low,Positive,125,69,11.57,Supplier_D
O100016,2026-02-22,C13876,Customer_3877,Basic,Pune,P1361,5,8433.29,Paid,Completed,In Transit,EcomExpress,1278.92,2026-05-31,2026-06-04,4,NULL,NULL,NULL,453,156,116.31,Supplier_D
O100017,2026-06-03,C10063,Customer_64,Standard,Kolkata,P1182,2,11293.09,Failed,Completed,Delivered,Delhivery,480.37,2026-07-29,2026-07-27,-2,Product,Medium,Positive,404,143,141.91,Supplier_A
O100018,2026-04-18,C10864,Customer_865,Standard,Bangalore,P1493,4,6768.98,Pending,Completed,Delivered,FedEx,257.98,2026-04-08,2026-04-13,5,NULL,NULL,NULL,224,95,49.43,Supplier_C
O100019,2026-03-21,C12295,Customer_2296,Standard,Pune,P1130,7,9040.99,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,Delivery,Low,Positive,940,71,49.45,Supplier_D
O100020,2026-06-15,C13520,Customer_3521,Basic,Pune,P1429,6,7123.24,Paid,Completed,In Transit,DHL,159.13,2026-04-23,2026-04-27,4,Payment,Critical,Neutral,458,203,101.47,Supplier_D
O100021,2026-03-22,C10135,Customer_136,Basic,Mumbai,P1156,2,15436.69,Paid,Returned,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,715,192,95.18,Supplier_B
O100022,2026-04-09,C13537,Customer_3538,Premium,Bangalore,P1185,6,14591.48,Paid,Completed,Delivered,BlueDart,643.45,2026-08-07,2026-08-07,0,NULL,NULL,NULL,359,180,39.92,Supplier_B
O100023,2026-07-22,C12030,Customer_2031,Basic,Hyderabad,P1394,2,13926.87,Pending,Cancelled,In Transit,,1297.30,2026-08-24,2026-08-27,3,NULL,NULL,NULL,546,91,52.99,Supplier_B
O100024,2026-03-29,C13144,Customer_3145,Premium,Bangalore,P1234,4,2689.36,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,Delivery,High,Negative,132,244,89.25,Supplier_B
O100025,2026-03-22,C13797,Customer_3798,Standard,Chennai,P1148,3,4833.87,Pending,Completed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,260,67.21,Supplier_A
O100026,2026-03-22,C10862,Customer_863,Standard,Hyderabad,P1042,6,3037.43,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,927,279,108.43,Supplier_D
O100027,2026-06-16,C12353,Customer_2354,Standard,Kolkata,P1003,1,1863.04,,Processing,Delayed,EcomExpress,588.76,2026-06-12,2026-06-13,1,NULL,NULL,NULL,81,171,2.46,Supplier_D
O100028,2026-08-31,C13537,Customer_3538,Premium,Bangalore,P1324,7,6396.70,Paid,Completed,Delivered,Delhivery,1446.97,2026-03-16,2026-03-21,5,NULL,NULL,NULL,789,138,77.51,Supplier_C
O100029,2026-08-02,C13380,Customer_3381,Basic,Bangalore,P1197,0,5104.68,Refunded,Completed,Delivered,FedEx,774.19,2026-06-22,2026-06-28,6,NULL,NULL,NULL,27,278,121.13,Supplier_D
O100030,2026-05-18,C12085,Customer_2086,Basic,Delhi,P1277,6,18207.41,Paid,Completed,Delivered,EcomExpress,369.35,2026-07-01,2026-07-04,3,Account,High,Neutral,255,262,141.09,Supplier_A
O100031,2026-04-28,C13801,Customer_3802,Standard,Delhi,P1365,5,17488.40,Paid,Completed,Delivered,EcomExpress,940.79,2026-05-12,2026-05-15,3,NULL,NULL,NULL,181,64,140.57,Supplier_D
O100032,2026-05-15,C12836,Customer_2837,Standard,Chennai,P1358,6,5273.08,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,576,168,5.40,Supplier_D
O100034,2026-06-05,C10231,Customer_232,Standard,Kolkata,P1461,5,3878.93,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,Delivery,Medium,Negative,929,186,23.31,Supplier_A
O100035,2026-07-09,C11950,Customer_1951,Premium,,P1149,2,8205.23,Paid,Completed,In Transit,DHL,1385.82,2026-03-16,2026-03-17,1,Product,Medium,Neutral,221,297,25.54,Supplier_B
