customer_id,customer_name,region,customer_segment,signup_date,total_orders,customer_value
C10000,Customer_1,Pune,Basic,2026-08-02,9,14650.01
C10001,Customer_2,Bangalore,Standard,2023-08-17,9,12940.19
C10002,Customer_3,Hyderabad,Standard,2023-02-21,5,19047.38
C10003,Customer_4,Pune,Basic,2024-07-17,5,5462.99
C10004,Customer_5,Delhi, ,2024-05-16,10,12129.54
C10005,Customer_6,Hyderabad,Premium,2024-04-02,9,14900.81
C10006,Customer_7,HYDERABAD,Standard,2023-10-13,6,15957.35
C10007,Customer_8,Pune,Basic,2023-07-29,14,10204.32
C10008,Customer_9,Mumbai,Standard,2026-01-21,4,9186.09
C10009,Customer_10,Delhi,Standard,2023-06-28,12,16135.31
C10010,Customer_11,Pune,Standard,2026-04-24,10,14006.08
C10011,Customer_12,Delhi,Standard,2025-05-14,13,15534.14
C10012,Customer_13,Delhi,Standard,2023-03-07,12,22535.11
C10013,Customer_14,Hyderabad,Standard,2023-03-03,6,7059.4
C10014,Customer_15,Bangalore,Standard,2023-07-11,10,12491.31
C10015,Customer_16,Delhi,Standard,2024-03-23,8,15621.62
C10016,Customer_17,Chennai,Standard,2024-04-21,10,13869.96
C10017,Customer_18,Hyderabad,Standard,2025-10-31,6,11564.74
C10018,Customer_19,Mumbai,Basic,2026-05-17,5,11324.64
C10019,Customer_20,Bangalore,Premium,2023-02-24,15,13192.37
C10020,Customer_21,CHENNAI,Basic,2026-02-23,11,9173.23
C10021,Customer_22, Chennai ,Basic,2024-02-12,6,8028.01
C10022,Customer_23,Mumbai,Standard,2026-08-23,10,8130.66
C10023,Customer_24,Bangalore,Standard,2026-01-21,8,10138.25
C10024,Customer_25,Hyderabad,Standard,2025-05-09,13,19862.96
C10025,Customer_26,Kolkata,Standard,2024-03-27,5,13874.68
C10026,Customer_27,Bangalore,Standard,2025-07-08,10,11064.78
C10027,Customer_28,Mumbai,Premium,2026-04-21,10,9628.17
C10028,Customer_29,Chennai,Standard,2024-07-23,2,18169.21
C10029,Customer_30,Hyderabad,Basic,2023-01-14,9,8106.26
C10030,Customer_31,Bangalore, Standard ,2023-11-23,8,8764.56
C10031,Customer_32,Kolkata,Basic,2025-05-15,12,11182.27
C10032,Customer_33,Kolkata,Standard,2024-11-27,7,13534.65
C10033,Customer_34,Delhi,Basic,2024-07-23,11,16719.63
C10034,Customer_35,Delhi,Standard,2023-11-15,7,20699.13
C10035,Customer_36,Pune,Premium,2024-03-16,8,9772.75
C10036,Customer_37,Mumbai,Standard,2024-11-20,10,17653.85
C10037,Customer_38,Bangalore,Premium,2023-07-29,7,25793.56
C10038,Customer_39,Bangalore,Standard,2023-07-09,9,9566.62
C10039,Customer_40,Pune,Basic,2025-02-17,8,27609.29
C10040,Customer_41,Chennai,Premium,2023-07-18,7,6814.13
C10041,Customer_42,Chennai,Standard,2025-01-05,9,12272.65
C10042,Customer_43,pune,Basic,2024-12-05,10,14531.49
C10043,Customer_44,Chennai,Basic,2026-05-21,6,8944.59
C10044,Customer_45,Delhi,Standard,2024-06-25,3,10365.72
C10045,Customer_46,Bangalore,Standard,2023-03-30,7,9010.64
C10046,Customer_47,Pune,Standard,2025-07-29,2,9005.42
C10047,Customer_48,Bangalore,Standard,2026-01-03,10,13929.39
C10048,Customer_49,KOLKATA,Basic,2023-09-13,4,7573.91
C10049,Customer_50,Delhi,Basic,2025-02-14,7,9144.75
C10050,Customer_51,Hyderabad,Basic,2023-06-11,13,5309.46
C10051,Customer_52,Delhi,Basic,2026-02-04,7,18313.05
C10052,Customer_53,Pune,Premium,2024-08-23,8,22316.76
C10053,Customer_54,Hyderabad,Basic,2026-07-11,5,8740.4
C10054,Customer_55,Kolkata,Basic,2026-06-20,8,17938.9
C10055,Customer_56,Pune,Premium,2025-01-10,8,13376.93
C10056,Customer_57,Mumbai,Basic,2026-03-28,6,5654.49
C10057,Customer_58,Bangalore,Standard,2024-01-29,9,6961.04
C10058,Customer_59,Kolkata, Standard ,2023-05-23,13,31786.12
C10059,Customer_60,Bangalore,Basic,2023-04-04,9,16411.5
C10060,Customer_61,Chennai,Standard,2024-04-11,10,4498.2
C10061,Customer_62,Mumbai,Premium,2024-08-15,11,12128.78
C10062,Customer_63,Mumbai,Standard,2023-06-13,8,11312.55
C10063,Customer_64,Kolkata,Standard,2024-04-21,7,15022.6
C10064,Customer_65,Mumbai,Basic,2023-07-26,4,10274.36
C10065,Customer_66,Hyderabad,Standard,2025-02-17,3,13936.9
C10066,Customer_67,Mumbai,Standard,2024-07-23,10,19908.26
C10067,Customer_68, ,Basic,2025-07-17,12,10694.29
C10068,Customer_69,Bangalore,Standard,2026-07-25,8,6579.64
C10069,Customer_70,Pune,Standard,2025-01-17,10,8964.87
C10070,Customer_71,Bangalore,Standard,2023-11-30,6,12822.34
C10071,Customer_72,Pune,Basic,2025-01-28,6,15744.67
C10072,Customer_73,Bangalore,Standard,2024-12-28,8,12573.09
C10073,Customer_74,Hyderabad,Standard,2024-03-05,8,7583.4
C10074,Customer_75,Pune,Premium,2024-06-30,11,7566.99
C10075,Customer_76,delhi,Premium,2026-08-20,7,9885.98
C10076,Customer_77,Chennai,Premium,2023-05-27,9,25136.47
C10077,Customer_78,Kolkata,Premium,2026-06-01,10,7180.0
C10078,Customer_79, ,Standard,2026-07-24,8,11653.15
C10079,Customer_80,Mumbai,Basic,2023-12-17,4,17368.2
C10080,Customer_81,Bangalore,Standard,2025-12-29,9,18566.59
C10081,Customer_82,Mumbai,Basic,2024-05-16,3,13501.33
C10082,Customer_83,Chennai,Basic,2023-12-01,12,14129.73
C10083,Customer_84,Chennai,Basic,2025-08-04,9,15126.73
C10084,Customer_85,Chennai,Standard,2025-02-16,7,11600.62
C10085,Customer_86,Mumbai,Standard,2024-07-06,9,7679.8
C10086,Customer_87,Bangalore,Standard,2026-08-03,4,14186.18
C10087,Customer_88,Chennai,Premium,2026-02-14,6,9105.35
C10088,Customer_89,Hyderabad,Standard,2024-03-25,5,6262.6
C10089,Customer_90,Pune,Basic,2024-10-26,9,18605.27
C10090,Customer_91,Mumbai,Basic,2023-04-25,12,7777.12
C10091,Customer_92,mumbai,Standard,2024-04-14,5,8740.92
C10092,Customer_93,Bangalore,Standard,2023-03-07,8,12875.81
C10093,Customer_94,Mumbai,Basic,2024-10-08,7,5040.05
C10094,Customer_95,Mumbai,Premium,2025-04-01,10,9901.22
C10095,Customer_96,Chennai,Standard,2024-07-02,8,20359.81
C10096,Customer_97,Bangalore,,2023-05-16,8,9792.14
C10097,Customer_98,Chennai,Standard,2024-03-08,10,7629.32
C10098,Customer_99,Pune,,2026-03-07,10,6148.58
C10099,Customer_100,Pune,Standard,2024-10-06,7,11240.72
C10100,Customer_101,Chennai,Basic,2024-03-11,8,7414.76
C10101,Customer_102,Pune,Standard,2025-10-19,12,19237.14
C10102,Customer_103,Bangalore,Standard,2025-03-21,2,4931.33
C10103,Customer_104,Kolkata,Standard,2026-08-09,11,23536.88
C10104,Customer_105,Chennai,Standard,2025-07-28,10,13071.11
C10105,Customer_106,,Standard,2023-10-20,7,4229.29
C10106,Customer_107,Hyderabad,Basic,2024-06-26,15,8264.65
C10107,Customer_108,Mumbai,Premium,2023-10-13,5,17959.02
C10108,Customer_109,,Basic,2024-05-20,2,10950.07
C10109,Customer_110,Hyderabad,Premium,2026-02-23,9,11859.06
C10110,Customer_111,Mumbai,Standard,2026-01-08,14,6845.3
C10111,Customer_112,Kolkata,Premium,2024-06-22,7,10976.26
C10112,Customer_113,Bangalore,Standard,2026-04-12,5,7051.28
C10113,Customer_114,Bangalore,Standard,2025-05-27,9,10062.06
C10114,Customer_115,Bangalore,Standard,2026-04-10,8,18142.17
C10115,Customer_116,Hyderabad,Premium,2025-03-28,9,8098.7
C10116,Customer_117,Kolkata,Standard,2025-01-11,8,9974.55
C10117,Customer_118, ,Premium,2024-03-25,7,7754.44
C10118,Customer_119,Pune,Basic,2023-10-11,8,16985.48
C10119,Customer_120,Hyderabad,Basic,2025-11-09,7,9857.0
C10120,Customer_121,Kolkata,Standard,2025-10-07,10,11885.21
C10121,Customer_122,Kolkata,Standard,2023-07-06,8,12407.22
C10122,Customer_123,Pune,Standard,2023-04-07,5,14469.17
C10123,Customer_124,Kolkata,Premium,2023-08-13,6,18576.08
C10124,Customer_125,Kolkata,Standard,2023-11-10,8,8710.87
C10125,Customer_126,Bangalore,Basic,2026-07-09,8,11937.51
C10126,Customer_127,Pune,Standard,2023-11-24,9,4913.71
C10127,Customer_128,,Premium,2025-05-14,11,11321.08
C10128,Customer_129,Delhi,Basic,2026-05-06,12,16599.8
C10129,Customer_130,Kolkata,Standard,2023-05-11,9,12694.58
C10130,Customer_131,Delhi,Basic,2025-02-27,5,11307.19
C10131,Customer_132,Delhi,Standard,2025-02-20,3,7725.1
C10132,Customer_133,Kolkata,Standard,2026-05-05,13,14544.54
C10133,Customer_134,Delhi,Premium,2025-08-16,12,2641.26
C10134,Customer_135,Hyderabad,Premium,2025-12-19,16,9329.09
C10135,Customer_136,Mumbai,Basic,2024-05-29,8,7889.52
C10136,Customer_137,Pune,Standard,2026-02-07,13,10508.57
C10137,Customer_138,MUMBAI,Basic,2023-01-24,10,11432.0
C10138,Customer_139,,Standard,2023-08-23,8,12002.99
C10139,Customer_140,Bangalore,Premium,2026-01-04,13,4416.33
C10140,Customer_141,Pune,Premium,2024-06-30,10,7894.16
C10141,Customer_142, ,Standard,2026-08-05,12,17613.02
C10142,Customer_143,Bangalore,Basic,2024-11-27,8,18214.96
C10143,Customer_144,Mumbai,Standard,2023-08-17,9,11476.86
C10144,Customer_145,Kolkata,Standard,2024-08-24,9,19734.56
C10145,Customer_146,Pune,Standard,2025-06-09,6,12718.51
C10146,Customer_147,Pune,Premium,2023-11-20,6,12820.23
C10147,Customer_148,Chennai,Standard,2025-07-18,11,10166.37
C10148,Customer_149,Hyderabad,Premium,2023-01-07,7,11170.73
C10149,Customer_150,Delhi,Basic,2024-06-23,11,7761.05
C10150,Customer_151,Bangalore,Standard,2025-10-22,10,15058.92
C10151,Customer_152,Chennai,Standard,2024-01-01,7,10148.74
C10152,Customer_153,Delhi,Standard,2025-11-05,5,16417.44
C10153,Customer_154,Delhi,Standard,2023-08-06,3,14828.12
C10154,Customer_155,Kolkata,Basic,2026-07-04,5,16907.81
C10155,Customer_156,DELHI,Standard,2024-09-03,4,15714.07
C10156,Customer_157,Hyderabad,Premium,2026-08-01,9,15013.0
C10157,Customer_158,Pune,Standard,2025-11-05,11,12453.52
C10158,Customer_159,Chennai,Premium,2026-06-01,2,12241.47
C10159,Customer_160,Delhi,Premium,2024-02-12,11,8974.64
C10160,Customer_161,Kolkata,Basic,2023-11-10,13,8505.69
C10161,Customer_162,Hyderabad,Basic,2025-02-04,10,14301.43
C10162,Customer_163,Mumbai,Basic,2023-11-27,10,10526.43
C10163,Customer_164,Pune,Standard,2026-01-09,10,12942.86
C10164,Customer_165,Pune,Standard,2025-12-22,11,11556.31
C10165,Customer_166,Chennai,Premium,2023-01-02,11,12196.11
C10166,Customer_167,Pune,Standard,2026-05-11,8,18975.24
C10167,Customer_168,Delhi,Basic,2024-10-25,7,15714.13
C10168,Customer_169,Kolkata,Standard,2025-09-27,8,15391.29
C10169,Customer_170,Pune,Basic,2023-02-09,6,16898.6
C10170,Customer_171,Pune,Basic,2023-08-18,11,14068.11
C10171,Customer_172,Mumbai,Premium,2025-01-13,7,6880.48
C10172,Customer_173,Mumbai,Standard,2024-09-21,10,14338.68
C10173,Customer_174, Bangalore ,Standard,2024-05-05,9,13477.36
C10174,Customer_175,Hyderabad,Standard,2023-04-29,11,5517.55
C10175,Customer_176,Delhi,Basic,2024-05-08,6,15889.0
C10176,Customer_177,Pune,Standard,2026-03-07,5,10149.53
C10177,Customer_178,pune,Premium,2023-06-11,6,12818.73
C10178,Customer_179,Kolkata,Standard,2023-06-25,10,12352.07
C10179,Customer_180,Bangalore,Basic,2025-09-22,10,11066.49
C10180,Customer_181,Hyderabad,Premium,2023-05-22,7,10756.65
C10181,Customer_182,Bangalore,Basic,2025-12-26,5,50763.71
C10182,Customer_183,CHENNAI,Standard,2023-09-15,4,6481.35
C10183,Customer_184,Hyderabad,Basic,2023-09-20,11,10667.88
C10184,Customer_185,Pune,Basic,2025-08-31,13,7382.46
C10185,Customer_186,Pune,Standard,2026-01-30,5,7767.59
C10186,Customer_187,Hyderabad,Standard,2023-12-05,10,11036.67
C10187,Customer_188,Pune,Basic,2024-06-26,5,9657.68
C10188,Customer_189,Delhi, Standard ,2025-12-16,12,11657.22
C10189,Customer_190,Hyderabad,Basic,2026-05-27,10,6960.18
C10190,Customer_191,Bangalore,Premium,2025-05-16,10,23723.9
C10191,Customer_192,Hyderabad,Basic,2024-03-09,4,6520.28
C10192,Customer_193,Pune,Basic,2026-01-09,5,13013.44
C10193,Customer_194,Delhi,Basic,2024-02-16,13,10658.88
C10194,Customer_195,Delhi,Premium,2024-09-30,6,9650.65
C10195,Customer_196,Chennai,Standard,2025-03-28,12,11816.96
C10196,Customer_197,Bangalore,Standard,2026-08-23,5,20049.79
C10197,Customer_198,Mumbai,Standard,2025-02-03,10,21161.93
C10198,Customer_199,Mumbai,Standard,2025-06-16,4,7993.95
C10199,Customer_200,Hyderabad,Premium,2025-11-25,11,9480.73
C10200,Customer_201,Chennai,Basic,2025-07-13,5,15213.74
C10201,Customer_202,Kolkata,Standard,2023-09-05,8,14447.26
C10202,Customer_203,Hyderabad,Premium,2024-05-22,9,7026.44
C10203,Customer_204,Chennai,Standard,2024-04-05,10,14225.52
C10204,Customer_205,Bangalore,Standard,2023-05-12,4,26386.93
C10205,Customer_206,Bangalore,Premium,2024-11-23,7,7442.7
C10206,Customer_207,Bangalore,Basic,2023-02-13,7,9450.93
C10207,Customer_208,Bangalore,Basic,2026-04-19,4,9580.9
C10208,Customer_209,Bangalore,,2026-02-08,18,8692.23
C10209,Customer_210,Chennai,Premium,2024-04-16,7,9262.05
C10210,Customer_211,Chennai,Basic,2026-04-20,7,9630.1
C10211,Customer_212,Delhi,Standard,2024-03-27,1,10730.04
C10212,Customer_213,Mumbai,Standard,2023-01-15,8,8791.44
C10213,Customer_214,Pune,Standard,2023-05-26,8,16685.48
C10214,Customer_215,BANGALORE,Standard,2026-07-16,6,11201.49
C10215,Customer_216,Kolkata,Standard,2023-05-01,9,14378.56
C10216,Customer_217,Pune,Standard,2024-04-13,4,8502.22
C10217,Customer_218,,Standard,2023-05-19,6,12407.17
C10218,Customer_219,Kolkata,Basic,2023-03-06,12,16968.52
C10219,Customer_220,Kolkata,Standard,2024-11-07,15,14587.18
C10220,Customer_221,Kolkata,Basic,2023-05-26,3,16912.65
C10221,Customer_222,Delhi,Basic,2025-11-18,9,29530.56
C10222,Customer_223,,Standard,2024-05-02,6,19377.9
C10223,Customer_224,Kolkata,Standard,2024-07-24,5,19453.57
C10224,Customer_225,Bangalore,Standard,2025-09-21,4,5988.23
C10225,Customer_226,Hyderabad,Standard,2024-03-14,13,6778.9
C10226,Customer_227,Kolkata,Basic,2026-01-09,7,8585.1
C10227,Customer_228,Delhi,Standard,2023-09-28,8,6811.98
C10228,Customer_229,Pune,Basic,2026-03-15,8,26746.61
C10229,Customer_230,Chennai,PREMIUM,2026-03-26,9,5168.95
C10230,Customer_231,Delhi,Premium,2025-08-26,10,7563.79
C10231,Customer_232,Kolkata,Standard,2024-05-12,14,16487.24
C10232,Customer_233,Chennai,Standard,2025-08-26,3,5585.67
C10233,Customer_234,Hyderabad,Standard,2025-04-13,4,18579.23
C10234,Customer_235,Kolkata,Standard,2024-01-25,8,4377.25
C10235,Customer_236,Delhi,Standard,2023-07-13,9,17904.66
C10236,Customer_237, ,Premium,2023-07-18,13,21303.12
C10237,Customer_238,Bangalore,Basic,2025-06-01,5,10275.22
C10238,Customer_239,Pune,Standard,2024-12-26,8,20512.99
C10239,Customer_240,Delhi,Basic,2025-05-17,4,18559.23
C10240,Customer_241,Chennai,Basic,2025-04-21,8,17346.78
C10241,Customer_242,Kolkata,Basic,2025-08-14,5,17178.95
C10242,Customer_243,Bangalore,Premium,2023-04-21,12,10963.71
C10243,Customer_244,Kolkata,Basic,2026-08-31,6,21192.42
C10244,Customer_245,Chennai,Standard,2026-08-16,9,26674.69
C10245,Customer_246,Kolkata,Standard,2023-07-21,8,6618.89
C10246,Customer_247,Mumbai,Standard,2023-05-05,12,8485.51
C10247,Customer_248,Bangalore,Basic,2025-04-04,11,10797.3
C10248,Customer_249, Bangalore ,Standard,2024-11-25,6,15447.44
C10249,Customer_250,Chennai,Basic,2023-08-12,7,15514.4
C10250,Customer_251,Pune,Standard,2024-05-24,3,9970.23
C10251,Customer_252, ,Basic,2024-01-28,10,17502.55
C10252,Customer_253,Delhi,Basic,2024-01-25,4,12569.65
C10253,Customer_254,Kolkata,Standard,2026-01-03,9,17179.69
C10254,Customer_255,,BASIC,2025-07-07,13,14068.75
C10255,Customer_256,Kolkata,Premium,2023-10-15,13,8179.78
C10256,Customer_257,Kolkata,Premium,2025-05-14,11,12287.1
C10257,Customer_258,Delhi,Premium,2024-01-11,11,7111.49
C10258,Customer_259,Kolkata,Standard,2024-07-24,6,7254.79
C10259,Customer_260,Mumbai,Standard,2025-08-05,4,9288.61
C10260,Customer_261,Mumbai,Premium,2024-05-26,11,21495.26
C10261,Customer_262,Bangalore,Premium,2023-06-04,6,11367.6
C10262,Customer_263,Chennai,Basic,2025-06-26,3,9659.57
C10263,Customer_264,Pune,,2026-02-01,15,15697.2
