product_id,warehouse_id,stock_available,reorder_level,daily_demand,last_restock_date,supplier
P1002,W119,577,178,149.23,2026-08-16,Supplier_C
P1365,W103,870,194,134.89,2026-03-15,Supplier_D
P1241,W100,696,172,17.88,2026-04-19,Supplier_A
P1331,W116,169,289,53.96,2026-07-28,Supplier_A
P1064,W117,281,239,119.88,2026-09-05,Supplier_A
P1169,W117,804,240,59.75,2026-06-15,Supplier_B
P1225,W118,156,270,55.22,2026-08-09,Supplier_D
P1374,W111,897,164,60.15,2026-08-21,Supplier_B
P1467,W102,519,282,109.33,2026-07-30,
P1095,W118,849,58,117.83,2026-07-09,Supplier_A
P1181,W108,678,200,74.94,2026-05-29,Supplier_A
P1311,W102,921,247,108.52,2026-07-23,Supplier_C
P1238,W107,-15,256,85.62,2026-04-25,Supplier_B
P1057,W110,604,197,114.33,2026-08-19,Supplier_A
P1343,W101,968,141,17.57,2026-08-30,Supplier_D
P1372,W109,497,204,128.02,2026-06-28,Supplier_D
P1277,W118,793,99,109.29,2026-06-21,Supplier_C
P1153,W106,360,79,104.56,2026-08-16,Supplier_C
P1176,W100,318,225,132.3,2026-02-26,Supplier_C
P1423,W107,885,81,149.05,2026-02-11,Supplier_A
P1255,W116,13,143,107.91,2026-09-04,Supplier_B
P1268,W105,288,239,124.05,2026-03-09,Supplier_A
P1134,W103,442,247,54.37,2026-05-25,Supplier_C
P1484,W100,269,80,79.25,2026-02-28,Supplier_B
P1393,W109,22,258,6.96,2026-08-16,Supplier_D
P1363,W102,281,106,147.69,2026-01-10,Supplier_D
P1373,W118,416,141,131.18,2026-08-10,Supplier_A
P1159,W107,358,113,74.13,2026-04-12,Supplier_B
P1492,W101,695,88,71.9,2026-04-22,Supplier_A
P1246,W101,851,213,107.08,2026-09-02,Supplier_C
P1172,W109,743,125,56.06,2026-08-22,Supplier_A
P1044,W112,333,208,58.12,2026-05-14,
P1145,W113,722,192,16.88,2026-08-16,Supplier_B
P1229,W116,639,52,59.8,2026-03-20,
P1411,W118,30,297,5.62,2026-07-30,Supplier_C
P1176,W106,964,188,82.02,2026-08-15,Supplier_B
P1014,W113,62,134,30.91,2026-04-19,Supplier_B
P1272,W114,132,242,20.22,2026-03-26,Supplier_B
P1228,W109,632,290,126.55,2026-07-17,Supplier_B
P1319,W112,86,84,111.26,2026-02-26,Supplier_A
P1160,W111,321,92,39.94,2026-04-30,Supplier_B
P1129,W103,219,73,101.69,2026-08-02,Supplier_C
P1146,W115,883,287,73.22,2026-02-03,Supplier_D
P1108,W119,645,51,79.58,2026-06-22,Supplier_A
P1262,W115,283,201,7.76,2026-04-24,Supplier_B
P1349,W100,514,295,54.36,2026-07-24,
P1381,W105,822,78,123.36,2026-06-07,Supplier_B
P1434,W102,263,82,73.75,2026-01-25,Supplier_D
P1083,W111,456,60,18.56,2026-09-05,Supplier_D
P1119,W106,112,142,33.24,2026-07-20,Supplier_C
P1034,W101,544,69,32.83,2026-03-10,Supplier_D
P1053,W119,138,65,80.64,2026-01-24,Supplier_A
P1179,W108,294,108,80.47,2026-04-01,Supplier_D
P1169,W112,619,178,61.96,2026-03-21,Supplier_B
P1373,W106,607,171,58.48,2026-01-15,Supplier_B
P1159,W100,349,187,91.77,2026-09-04,Supplier_D
P1168,W101,705,274,75.81,2026-06-07,Supplier_C
P1212,W107,668,257,93.4,2026-06-14,Supplier_B
P1254,W115,535,156,42.1,2026-07-29,Supplier_C
P1186,W116,452,150,17.13,2026-04-03,Supplier_A
P1078,W106,375,66,76.04,2026-05-23, Supplier_D 
P1138,W106,199,280,54.63,2026-02-15,Supplier_B
P1246,W116,3,117,53.73,2026-05-06,Supplier_C
P1165,W117,27,121,40.83,2026-03-15,Supplier_A
P1130,W115,508,158,130.45,2026-05-24,Supplier_D
P1212,W112,346,71,28.0,2026-06-25,Supplier_C
P1330,W111,702,91,58.11,2026-02-25,Supplier_D
P1369,W112,70,64,1.44,2026-03-08,Supplier_D
P1386,W103,986,244,106.12,2026-05-03,Supplier_D
P1307,W103,582,294,114.38,2026-02-07,Supplier_C
P1326,W107,767,57,38.17,2026-05-27,Supplier_B
P1443,W105,305,271,130.08,2026-02-12,Supplier_D
P1437,W113,281,83,15.59,2026-05-19,Supplier_A
P1422,W100,211,152,53.39,2026-03-28,Supplier_C
P1050,W107,643,94,56.85,2026-02-11,Supplier_D
P1162,W112,182,89,65.28,2026-06-29,Supplier_D
P1413,W102,259,159,106.82,2026-03-17,Supplier_A
P1095,W106,650,276,105.87,2026-06-25,Supplier_D
P1150,W114,968,207,23.77,2026-05-11,Supplier_C
P1289,W113,725,209,27.18,2026-06-25,Supplier_D
P1157,W114,694,95,51.75,2026-03-02,Supplier_C
P1463,W109,597,186,110.07,2026-05-09,Supplier_D
P1340,W109,382,212,10.86,2026-04-23,Supplier_B
P1266,W101,996,152,34.55,2026-06-06,Supplier_D
P1104,W105,477,280,95.28,2026-04-22,Supplier_C
P1305,W117,389,264,88.56,2026-03-17,Supplier_D
P1375,W114,887,168,65.2,2026-06-26,Supplier_D
P1041,W106,613,79,86.16,2026-02-01,Supplier_A
P1192,W119,263,269,112.53,2026-01-29,Supplier_D
P1281,W115,203,188,47.6,2026-07-15,Supplier_B
P1140,W103,31,187,117.29,2026-03-06,Supplier_D
P1411,W113,621,80,132.95,2026-01-19,Supplier_D
P1397,W110,359,171,95.1,2026-06-28,Supplier_A
P1007,W117,83,297,54.92,2026-02-05,Supplier_A
