order_id,customer_id,order_date,product_id,quantity,order_value,payment_status,order_status,region
O100000,C13670,2026-02-03,P1491,5,23947.2,Paid,Completed,Chennai
O100001,C12608,2026-08-10,P1385,1,8291.47,Paid,Completed,Chennai
O100002,C13339,2026-06-05,P1326,3,15531.34,Refunded,Completed,Chennai
O100003,C10662,2026-02-18,P1185,1,23973.3,Paid,Completed,Delhi
O100004,C12828,2026-08-15,P1357,6,12637.16,Paid,Completed,Kolkata
O100005,C11029,2026-06-25,P1061,3,11875.96,Paid,Completed,Delhi
O100006,C10676,2026-04-04,P1353,-5,13334.05,Paid,Completed,Bangalore
O100007,C12297,2026-04-10,P1280,3,1119.3,Failed,Completed,Delhi
O100008,C12412,2026-02-25,P1326,6,7712.94,Paid,Completed,Bangalore
O100009,C11964,2026-04-29,P1280,4,17565.11,Paid,Completed,Kolkata
O100010,C10356,2026-04-20,P1122,1,24178.22,Paid,Completed,Pune
O100011,C10979,2026-06-07,P1321,1,14347.99,Paid,Completed,Delhi
O100012,C10942,2026-09-14,P1281,7,5004.75,Failed,Completed,Bangalore
O100013,C11255,2026-06-06,P1227,3,10842.29,Paid,Completed,Mumbai
O100014,C12514,2026-06-13,P1495,2,12403.49,Paid,Completed,Mumbai
O100015,C11753,2026-08-30,P1357,5,4059.95,Paid,Processing,Bangalore
O100016,C13876,2026-02-22,P1361,5,8433.29,Paid,Completed,Chennai
O100017,C10063,2026-06-03,P1182,2,11293.09,Failed,Completed,Kolkata
O100018,C10864,2026-04-18,P1493,4,6768.98,Pending,Completed,Pune
O100019,C12295,2026-03-21,P1130,7,9040.99,Paid,Completed,Hyderabad
O100020,C13520,2026-06-15,P1429,6,7123.24,Paid,Completed,Delhi
O100021,C10135,2026-03-22,P1156,2,15436.69,Paid,Returned,Hyderabad
O100022,C13537,2026-04-09,P1185,6,14591.48,Paid,Completed,Pune
O100023,C12030,2026-07-22,P1394,2,13926.87,Pending,Cancelled,Delhi
O100024,C13144,2026-03-29,P1234,4,2689.36,Paid,Completed,Delhi
O100025,C13797,2026-03-22,P1148,3,4833.87,Pending,Completed, 
O100026,C10862,2026-03-22,P1042,6,3037.43,Paid,Completed,Chennai
O100027,C12353,2026-06-16,P1003,1,1863.04,,Processing,Delhi
O100028,C13537,2026-08-31,P1324,7,6396.7,Paid,Completed,Pune
O100029,C13380,2026-08-02,P1197,-5,5104.68,Refunded,Completed,Pune
O100030,C12085,2026-05-18,P1277,6,18207.41,Paid,Completed,Bangalore
O100031,C13801,2026-04-28,P1365,5,17488.4,Paid,Completed,Chennai
O100032,C12836,2026-05-15,P1358,6,5273.08,Paid,Completed,Delhi
O100033,,2026-08-30,P1005,5,4389.42,Paid,Completed,Bangalore
O100034,C10231,2026-06-05,P1461,5,3878.93,Paid,Completed,Bangalore
O100035,C11950,2026-07-09,P1149,2,8205.23,Paid,Completed,Hyderabad
O100036,C11688,2026-03-16,P1271,3,7566.42,Failed,Processing,Pune
O100037,C11221,2026-06-06,P1479,3,1004.88,Paid,Completed,Chennai
O100038,C13774,2026-06-20,P1163,6,14326.4,Paid,Completed, Mumbai 
O100039,C13705,2026-07-01,P1177,2,22481.38,Paid,Processing,Kolkata
O100040,C11350,2026-06-11,P1057,4,13609.76,Paid,Completed,Kolkata
O100041,C11744,2026-08-19,P1198,4,1876.06,Failed,Completed,Kolkata
O100042,C13009,2026-06-07,P1086,3,15108.91,Paid,Completed,Chennai
O100043,C13342,2026-08-06,P1378,2,12278.41,Paid,Completed,Bangalore
O100044,C10440,2026-07-21,P1178,6,22701.14,Refunded,Completed,Delhi
O100045,C11964,2026-08-02,P1077,5,9271.52,Paid,Completed,Pune
O100046,C13660,2026-01-03,P1046,7,18873.96,Paid,Completed,Hyderabad
O100047,C12660,2026-07-26,P1436,1,1249.47,Failed,Processing,Bangalore
O100048,C12173,2026-01-29,P1133,3,18120.88,Paid,Returned,Bangalore
O100049,C12874,2026-07-29,P1489,5,1325.71,Paid,Cancelled,Kolkata
O100050,C12647,2026-07-01,P1152,3,8814.47,Pending,Cancelled,Bangalore
O100051,C13772,2026-03-13,P1386,7,23717.72,Paid,Cancelled,Chennai
O100052,C13653,2026-08-22,P1268,1,17669.16,Paid,Completed,Kolkata
O100053,C11592,2026-05-21,P1114,6,23148.07,Pending,Cancelled,Kolkata
O100054,C10128,2026-01-10,P1052,4,12547.57,Failed,Completed,Chennai
O100055,C11331,2026-04-14,P1241,3,15273.55,Paid,Cancelled,Pune
O100056,C10812,2026-04-17,P1322,6,13088.38,Paid,Completed,Pune
O100057,C10526,2026-05-12,P1286,2,12127.96,Paid,Processing,
O100058,C13554,2026-05-31,P1382,4,14582.3,Paid,Returned,Kolkata
O100059,C12841,2026-07-11,P1066,4,1260.81,Paid,Cancelled,
O100060,C10130,2026-01-13,P1336,5,4886.39,Paid,Processing,Bangalore
O100061,C13681,2026-06-14,P1182,2,5601.15,Paid,Completed,Hyderabad
O100062,C13614,2026-08-07,P1230,6,9756.37,Paid,Cancelled, Mumbai 
O100063,C13800,2026-07-15,P1449,3,11033.51,Paid,Completed,Chennai
O100064,C13322,2026-06-16,P1388,7,18571.04,Paid,Completed,Delhi
O100065,C10315,2026-04-13,P1392,3,4388.84,Paid,Completed,Pune
O100066,C12493,2026-04-21,P1284,2,14376.34,Paid,Completed,Chennai
O100067,C10332,2026-09-15,P1162,4,7025.54,Paid,Processing,Kolkata
O100068,C12855,2026-08-14,P1103,3,13036.65,Failed,Completed,Bangalore
O100069,C10788,2026-05-21,P1483,3,15777.4,Paid,Completed,Mumbai
O100070,C13746,2026-02-24,P1162,3,14686.53,Failed,Completed, Bangalore 
O100071,C13739,2026-02-08,P1305,1,5619.91,Paid,Completed,Chennai
O100072,C12380,2026-05-05,P1285,2,17823.49,Paid,Completed,Pune
O100073,C13013,2026-03-24,P1270,1,16448.56,Paid,Completed,BANGALORE
O100074,C13435,2026-06-16,P1028,1,23320.48,Paid,Completed,Delhi
O100075,C11557,2026-09-03,P1408,5,15963.55,Pending,Cancelled,Kolkata
O100076,C12318,2026-08-29,P1074,3,18092.01,Paid,Cancelled,Bangalore
O100077,C10704,2026-01-24,P1484,1,20332.38,Paid,Completed,Delhi
O100078,,2026-07-19,P1312,2,2918.31,Pending,Completed,Bangalore
O100079,C13720,2026-09-07,P1111,5,17499.46,Paid,Completed,Mumbai
O100080,C11935,2026-05-08,P1247,5,8168.93,Paid,Cancelled,Hyderabad
O100081,C12215,2026-05-24,P1306,6,20631.77,Paid,Cancelled,hyderabad
O100082,C11748,2026-07-12,P1323,7,12160.46,Failed,Completed,Kolkata
O100083,C10006,2026-01-31,P1379,4,14641.21,Paid,Completed,Hyderabad
O100084,C10920,2026-02-21,P1245,4,6730.34,Paid,Cancelled,Delhi
O100085,C10406,2026-01-29,P1490,5,16368.96,Pending,Completed, Delhi 
O100086,C11292,2026-06-25,P1057,2,1180.54,Paid,Completed,Hyderabad
O100087,C10945,2026-05-22,P1139,1,18789.78,Pending,Cancelled,Pune
O100088,C13049,2026-07-09,P1479,4,4333.41,Refunded,Processing,delhi
O100089,C12020,2026-08-13,P1324,1,5921.09,Paid,Completed,Bangalore
O100090,C13270,2026-05-26,P1361,7,322.48,Paid,Returned,Bangalore
O100091,C12544,2026-02-26,P1489,2,8035.41,Paid,Completed,Delhi
O100092,C12627,2026-08-30,P1242,1,9889.76,Paid,Completed,Chennai
O100093,C13507,2026-03-10,P1484,5,6079.79,Pending,Completed,Mumbai
O100094,C13391,2026-02-07,P1420,4,5986.2,Paid,Completed,Kolkata
O100095,C10253,2026-06-16,P1408,2,22356.63,Paid,Processing,Delhi
O100096,C12315,2026-07-31,P1323,5,8363.38,Paid,Completed,Kolkata
O100097,C11653,2026-03-19,P1407,7,18140.37,Paid,Cancelled,Hyderabad
O100098,C12400,2026-03-19,P1291,2,6163.32,Paid,Cancelled,Mumbai
O100099,C13453,2026-06-03,P1249,7,20283.32,Paid,Completed,Bangalore
O100100,C10048,2026-04-13,P1129,6,17040.23,Paid,Completed,Pune
O100101,C10043,2026-02-15,P1290,4,18978.24,Paid,Processing,Delhi
O100102,C10250,2026-08-13,P1124,1,11156.56,Paid,Completed,Chennai
O100103,C13502,2026-05-06,P1355,2,22025.24,Paid,Completed,Mumbai
O100104,C11415,2026-06-17,P1263,4,9538.11,Paid,Completed,Kolkata
O100105,C11486,2026-05-14,P1200,6,15142.11,Pending,Completed,delhi
O100106,C11382,2026-05-30,P1283,6,16109.78,Paid,Completed,Bangalore
O100107,C10924,2026-01-12,P1187,5,23820.61,Paid,Processing,Bangalore
O100108,C10155,2026-03-13,P1437,4,3622.71,Paid,Completed,Pune
O100109,C13628,2026-02-04,P1381,1,3649.45,Pending,Completed,Delhi
O100110,C10932,2026-06-10,P1359,7,11712.67,Refunded,Processing,Delhi
O100111,C13578,2026-07-04,P1043,4,22971.53,Paid,Returned,Mumbai
O100112,C13825,2026-08-17,P1009,7,835.62,Pending,Completed,Bangalore
O100113,C12308,2026-04-20,P1004,5,7124.01,Paid,Completed,Pune
O100114,C11490,2026-04-05,P1356,5,7304.58,Refunded,Completed,Kolkata
O100115,C13065,2026-06-14,P1375,2,7832.33,Paid,Completed,Bangalore
O100116,C10101,2026-08-28,P1174,5,910.21,Paid,Completed,Delhi
O100117,C13718,2026-04-27,P1158,3,20692.48,Paid,Completed,Pune
O100118,C11632,2026-08-24,P1243,5,520.06,Paid,Completed,Kolkata
O100119,C11235,2026-07-05,P1028,7,12099.29,Paid,Completed,Delhi
O100120,,2026-06-20,P1386,1,1692.07,Paid,Cancelled,Bangalore
O100121,C13823,2026-04-12,P1153,5,20026.51,Paid,Completed,Mumbai
O100122,C13246,2026-05-13,P1094,2,18740.67,Pending,Completed,kolkata
O100123,C12898,2026-05-11,P1001,7,18121.81,Pending,Completed,Mumbai
O100124,C13726,2026-01-12,P1334,5,18485.74,Paid,Completed,Pune
O100125,C13842,2026-03-13,P1460,4,23523.92,Paid,Completed,pune
O100126,C11074,2026-03-03,P1091,6,10595.23,Paid,Processing,Chennai
O100127,C13148,2026-07-30,P1055,6,21580.9,Paid,Processing,Pune
O100128,C13070,2026-08-07,P1235,4,4850.54,Paid,Completed,Hyderabad
O100129,C12231,2026-07-22,P1397,4,11446.23,Paid,Completed,Chennai
O100130,C10602,2026-09-07,P1331,3,520.05,Paid,Cancelled,Chennai
O100131,C13764,2026-01-25,P1014,2,7318.27,Paid,Processing,Kolkata
O100132,C11262,2026-01-31,P1084,4,11616.54,Paid,Completed,Bangalore
O100133,C12317,2026-07-11,P1379,7,22759.46,Pending,Processing,Chennai
O100134,C10077,2026-01-09,P1373,4,8128.7,Paid,Completed,Mumbai
O100135,C11717,2026-08-12,P1253,7,16908.49,Paid,Completed,Chennai
O100136,C12469,2026-01-17,P1220,7,20898.98,Paid,Completed,Pune
O100137,,2026-06-17,P1248,6,8365.28,Pending,Processing,Pune
O100138,C11909,2026-09-09,P1044,4,4479.94,Paid,Cancelled,Mumbai
O100139,C10768,2026-05-25,P1482,6,14902.5,Pending,Returned,Bangalore
O100140,C11402,2026-06-20,P1302,7,7324.28,Paid,Completed,
O100141,C12895,2026-02-04,P1019,6,16415.57,Paid,Processing,Hyderabad
O100142,C13881,2026-02-08,P1123,2,3627.12,Paid,Completed,Bangalore
O100143,C11876,2026-02-17,P1145,7,4044.39,Paid,Completed,Mumbai
O100144,C12746,2026-02-27,P1229,7,16995.3,Paid,Completed,Kolkata
O100145,C13907,2026-03-23,P1334,6,24346.92,Paid,Returned,Chennai
O100146,C13101,2026-02-14,P1060,4,6398.34,Paid,Completed,Hyderabad
O100147,C10040,2026-08-28,P1120,7,17933.65,Paid,Processing,Bangalore
O100148,C13745,2026-04-08,P1255,3,13441.4,Failed,Completed,Mumbai
O100149,C13469,2026-02-07,P1203,4,21142.89,Paid,Completed,Hyderabad
O100150,C11085,2026-08-09,P1481,1,9905.48,Paid,Completed,Delhi
O100151,C10726,2026-05-22,P1004,3,24301.34,Paid,Processing, Chennai 
O100152,C13599,2026-08-27,P1313,1,2335.2,Paid,Completed,Chennai
O100153,C12756,2026-08-20,P1336,4,24620.8,Paid,Processing,Chennai
O100154,C10948,2026-03-19,P1076,4,21202.06,Paid,Completed,Pune
O100155,C12857,2026-06-19,P1315,2,21701.52,Paid,Processing,Hyderabad
O100156,C12402,2026-02-07,P1140,6,21107.36,Paid,Completed,Chennai
O100157,C11237,2026-04-04,P1099,1,21588.03,Refunded,Completed,Bangalore
O100158,C12228,2026-06-23,P1207,1,20434.27,Paid,Completed,
O100159,C12110,2026-08-21,P1295,5,22518.07,Pending,Completed,Mumbai
O100160,C12040,2026-08-10,P1194,5,11681.78,Paid,Completed,Bangalore
O100161,C12071,2026-01-11,P1179,5,23500.49,Paid,Cancelled,Kolkata
O100162,C10001,2026-07-25,P1257,5,9808.58,Paid,Processing,Mumbai
O100163,C11075,2026-05-31,P1472,1,18294.36,Paid,Completed,Pune
O100164,C11724,2026-01-04,P1436,2,17845.71,Paid,Returned,Bangalore
O100165,C10509,2026-07-19,P1194,5,20576.14,Pending,Processing,Delhi
O100166,C12999,2026-01-10,P1138,1,18538.05,Paid,Completed,Kolkata
O100167,C13390,2026-01-05,P1010,2,1173.87,Failed,Cancelled,Kolkata
O100168,C13273,2026-04-26,P1265,2,18557.07,Paid,Completed,Hyderabad
O100169,C11840,2026-06-15,P1027,5,875.43,Paid,Completed,Delhi
O100170,C12765,2026-08-07,P1118,1,13470.79,Refunded,Completed,PUNE
O100171,C10307,2026-03-19,P1394,3,21022.05,Paid,Returned,Mumbai
O100172,C10798,2026-05-13,P1496,1,20790.51,Paid,Completed,Pune
O100173,C10187,2026-04-25,P1248,7,21080.43,Paid,Completed,Hyderabad
O100174,C13864,2026-06-17,P1006,7,15179.54,Paid,Completed,Delhi
O100175,C12299,2026-08-23,P1412,2,4840.16,Paid,Completed,Chennai
O100176,C10701,2026-04-13,P1448,4,12847.06,Paid,Completed,Bangalore
O100177,C12832,2026-07-01,P1435,7,13050.43,Paid,Processing,Chennai
O100178,C11958,2026-03-20,P1142,5,8321.76,Paid,Completed,Kolkata
O100179,C11738,2026-04-07,P1006,7,10775.25,Paid,Completed,Hyderabad
O100180,C13656,2026-03-17,P1451,2,21842.76,Paid,Completed,Pune
O100181,C12835,2026-04-16,P1054,7,13092.82,Paid,Completed,Kolkata
O100182,C12764,2026-06-07,P1386,3,17707.17,Paid,Completed,Delhi
O100183,C10389,2026-04-03,P1019,3,12546.54,Paid,Completed,Kolkata
O100184,C10368,2026-02-21,P1379,3,15551.54,Paid,Completed,Hyderabad
O100185,C12659,2026-01-14,P1002,7,2586.9,Failed,Completed,Bangalore
O100186,C10626,2026-01-21,P1412,7,23305.29,Paid,Completed,Hyderabad
O100187,C11814,2026-03-07,P1019,3,11067.55,Paid,Completed,Mumbai
O100188,C12281,2026-06-28,P1265,6,18783.08,Paid,Processing,Kolkata
O100189,C11553,2026-02-05,P1444,1,16777.4,Paid,Completed,Hyderabad
O100190,C10340,2026-06-17,P1226,2,20042.02,Paid,Completed,Hyderabad
O100191,C12975,2026-06-11,P1345,3,1161.36,Pending,Completed,Bangalore
O100192,C13542,2026-04-28,P1349,7,23403.19,Paid,Cancelled,Kolkata
O100193,C10647,2026-04-17,P1217,2,20794.75,Paid,Processing,Kolkata
O100194,C13419,2026-04-14,P1164,7,20893.91,Failed,Cancelled,Pune
O100195,C13157,2026-06-05,P1339,2,11837.7,Failed,Cancelled,Mumbai
O100196,C12257,2026-03-25,P1050,7,19969.2,Paid,Completed,Delhi
O100197,C12386,2026-08-06,P1372,4,14507.0,Paid,Processing,Delhi
O100198,C12608,2026-05-19,P1169,7,12735.91,Paid,Completed,Kolkata
O100199,C12100,2026-04-30,P1456,1,19687.57,Paid,Completed,PUNE
O100200,C13380,2026-04-22,P1458,7,15806.66,Paid,Processing,HYDERABAD
O100201,C11897,2026-07-01,P1352,4,2205.86,Failed,Completed,Pune
O100202,C12189,2026-01-14,P1029,5,8068.39,Paid,Cancelled,Delhi
